name;latitude;longitude;link
Andorra;42.546245;1.601554;andorra
United Arab Emirates;23.424076;53.847818;united_arab_emirates
Afghanistan;33.93911;67.709953;afghanistan
Antigua and Barbuda;17.060816;-61.796428;antigua_and_barbuda
Anguilla;18.220554;-63.068615;anguilla
Albania;41.153332;20.168331;albania
Armenia;40.069099;45.038189;armenia
Netherlands Antilles;12.226079;-69.060087;netherlands_antilles
Angola;-11.202692;17.873887;angola
Antarctica;-75.250973;-0.071389;antarctica
Argentina;-38.416097;-63.616672;argentina
American Samoa;-14.270972;-170.132217;american_samoa
Austria;47.516231;14.550072;austria
Australia;-25.274398;133.775136;australia
Aruba;12.52111;-69.968338;aruba
Azerbaijan;40.143105;47.576927;azerbaijan
Bosnia and Herzegovina;43.915886;17.679076;bosnia_and_herzegovina
Barbados;13.193887;-59.543198;barbados
Bangladesh;23.684994;90.356331;bangladesh
Belgium;50.503887;4.469936;belgium
Burkina Faso;12.238333;-1.561593;burkina_faso
Bulgaria;42.733883;25.48583;bulgaria
Bahrain;25.930414;50.637772;bahrain
Burundi;-3.373056;29.918886;burundi
Benin;9.30769;2.315834;benin
Bermuda;32.321384;-64.75737;bermuda
Brunei;4.535277;114.727669;brunei
Bolivia;-16.290154;-63.588653;bolivia
Brazil;-14.235004;-51.92528;brazil
Bahamas;25.03428;-77.39628;bahamas
Bhutan;27.514162;90.433601;bhutan
Bouvet Island;-54.423199;3.413194;bouvet_island
Botswana;-22.328474;24.684866;botswana
Belarus;53.709807;27.953389;belarus
Belize;17.189877;-88.49765;belize
Canada;56.130366;-106.346771;canada
Cocos [Keeling] Islands;-12.164165;96.870956;cocos_[keeling]_islands
Congo [DRC];-4.038333;21.758664;congo_[drc]
Central African Republic;6.611111;20.939444;central_african_republic
Congo [Republic];-0.228021;15.827659;congo_[republic]
Switzerland;46.818188;8.227512;switzerland
Côte d'Ivoire;7.539989;-5.54708;côte_d'ivoire
Cook Islands;-21.236736;-159.777671;cook_islands
Chile;-35.675147;-71.542969;chile
Cameroon;7.369722;12.354722;cameroon
China;35.86166;104.195397;china
Colombia;4.570868;-74.297333;colombia
Costa Rica;9.748917;-83.753428;costa_rica
